Fact Checked Claim Index,Podcast Claim Index,Fact Checked Claim,Podcast Claim,Stance Agreement,
9711,6730874,"Planned Parenthood is ""not actually doing women’s health issues.""","SEP.This episode of the nod is brought to you by Unstoppable a new campaign powered by Planned Parenthood. The idea behind Planned Parenthood is bigger than sexual and reproductive Health. It's about everyone having the freedom and opportunity to control their own bodies and their own Futures and Planned Parenthood believes that together when you march together vote together lead together and have each other's backs. You are unstoppable to learn more and join the movement Gente
",3,
13756,11277196,"Says an arts tax would provide ""funding for certified arts and music teachers for every elementary school serving Portland residents."""," In British Columbia Province in Canada. Billboards are restricted 300 meters away from the roadways the government also retains the right to remove any billboard that deems an unsafe distraction and in Toronto a city of over 3 million in Canada, a municipal tax on Billboard's was implemented in April 2010. The portion of the tax will help fund Arts programs in a city. And America has done it's part as well to put a cap on the types and number of billboards that are out there. There's a few bills that have been passed in the past couple of years
",5,
8691,7033805,"""Increasing the min. wage to $15 an hour would reduce spending on food stamps, public housing and other programs by over $7.6 billion a year."""," We need to pay them a livable wage. I got news for you. You raise the minimum wage to $15 an hour and you lose the people you're trying to help the most you will put them in more poverty than they've ever experienced in their life raising the minimum wage undermines the entire economy. Because what it means is small businesses go under you only have room for big businesses. They could give a rat's ass about you
",4,"Podcaster claims ""You raise the minimum wage to $15 an hour and you lose the people you're trying to help the most you will put them in more poverty than they've ever experienced"". If people are poorer, spending on food stamps and social programs can't decrease. "
7128,4704727,"Says Milwaukee County Sheriff David A. Clarke Jr. has said Black Lives Matter ""is a terrorist movement, a hate group and calls it, Black LIES Matter."""," There was a controversial woman's heart. Yeah the ELA women's March because the. The black lives matter. Yeah, I was gonna say it was like when you say the founders or yeah representatives from Pratt black lives matter were not invited to the March the first time in three years black lives matter was not invited to speak and they were very public about it. And so a lot of people pulled out
",5,
15118,11842859,"""In 2011, there were more than 28,000 new Tennessee jobs created and over $4 billion in capital investment. Our Jobs4TN plan is working."""," I really look into the stats like review your agencies websites where it says this is where the jobs are and really look and see if there's actually jobs in the state or not because it's not worth it holding on to like Florida for instance. If there's only like a job that comes up there a year or fluid is probably not a good example, but maybe like I don't know Tennessee like it, you know, you kind of you think I want to work in Nashville, but in reality like a handful of Nashville. Tennessee jobs come up a year. So really look at the stats before you start applying. Okay in your own personal traveling career how many times or maybe percentage-wise do you work in hospital versus skilled nursing?
",5,
10425,7178554,"Science is ""very certain"" that the measles vaccine doesn't cause autism."," Medical environment it was it was done outside of real scientific standard. And in this fraudulent study. He fabricated a link between vaccinations for measles and autism and that's where it comes from. He created this his article was published in a journal called the Lancet in 1998, and that story was picked up by other media outlets and and it kind of spread. Like wildfire and so became a big fucking deal in England so much so that the medical community went apeshit about it and said, this is all fucking bullshit
",2,
10029,9866760,"""One out of five of our children live in a family that’s on food stamps."""," I started to savings and I was raised in a single parent household. My mom was a tech nurse. We grow up Section 8 food stamps. So that idea of a savings. I had never had
",5,
13864,9609873,Says she is a registered nurse.," Yeah, this is just like a textbook we're talking about a chapter in this book. Yeah, it's not the full book. She's a great nurse. Yeah, but I was just like no. No, I'm not yet
",5,
12619,4388164,"Marijuana is ""less toxic"" than alcohol."," People are trying to get their way around if you just produced and sold in stores everywhere. Most people probably lose interest in it like the prohibition period kind of think about it like. Alcohol is way worse for you than marijuana. Hey Bandit ban alcohol, and then everyone is just bootlegging anyway, right, but the only thing there is like you're still going to run into the problem with like kids doing it, you know, like we're not supposed to be drinking alcohol until we're 21 high school kids. Do it all the time man
",1,"Podcaster claims ""Alcohol is way worse for you than marijuana."". "
6000,11851196,"The default rate for college students has grown from 40 percent 10 years ago to about 50 percent today, and ""perhaps as many as 800,000 young Ohioans are facing default on their student loans."""," But like we have one of the lowest default believe it or not. The government tracks my graduates to see how many of them are defaulting on their student loans and if a college has. Many students default on student loans. They can lose the ability to offer federal aid. So every year we get what's called our three-year default rate and can't be above 25% ours has been at close to zero for the last two years which means almost none of our students
",2,"Podcaster claims ""Many students default on student loans"". "
12325,13337,"Under President George W. Bush, ""we added $4.9 trillion to the debt. Under President Obama … we’ve added $6.5 trillion to the debt."""," The next day it crashed peace and safety. Is what they were giving in 2008. Debt was at 14 trillion dollars. I can't even figure out what that is. And there were there were warning signs and there were some men out there honest hearted economists who began to give a warning but the majority were saying peace and safety
",5,
880,2465723,"Says it doesn't make sense for young adults to get the vaccine since they ""really are not under that much of a threat as a result of this virus."""," It's stains and it's what is there so look, we're gonna get into the autism thing in a minute because there is no fucking autism thing. But one of the big things worse we want to get at look. There are people who need to not get vaccinated because they have compromised immune systems or they're too young to get. Some vaccinations or the too old or whatever and we have and was a gorilla Rose said that it's kind of a social pact that we have to kind of protect each other. Right and even if you don't believe in vaccines, you got to do it for everybody else who can't necessarily get them, right? So K Loft 67 says vaccines aren't about you
",2,"Podcaster claims ""There are people who need to not get vaccinated because they have compromised immune systems or they're too young to get."". "
6472,9641404,"Abortion in the U.S. ""is at an all time legal low."""," They'll just die doing it. And and also I'm pro-choice because every single statistic available shows that pro-choice makes A Better Effort to. And abortions goes to have like goes down by like 50% in some states, but go ahead. Yeah voting pro-life because it sounds better the terminology drives me crazy because it's literally the opposite. Yeah, and it's driving me insane
",2,"Podcaster claims ""abortions have gone down by like 50% in some states""."
6254,10159885,"There is ""substantial evidence of voter fraud."""," Yeah, and then it was julienne against Dinkins Giuliani lost. Yeah, but there was a lot of suspicion that. there was some fraud with respect to the voting. Okay, and they were awful lot of votes coming in from Washington Heights and they weren't that many documented citizens living in Washington Heights that voted for David Dinkins. So for the next election
",1,"Podcaster claims ""there was some fraud with respect to the voting"". "
1814,7633572,"""Nearly 800 million opioid pills were shipped to WV, amounting to 433 pills for every man, woman, and child in the state.”"," It was kind of a non-opioid and it wasn't addictive and like many things we sort of believe what we heard and didn't always ask is we probably should have more at the time what was the evidence but this was a study that was recently published in the British medical journal. Journal volume 365 849 feels and Haberman and his group looked at basically a retrospective cohort of patients that were giving short-acting opioids after surgery. They started off with about 450 thousand of them of those about 360,000 actually filled the prescription for the opioid included hydrocodone about 53 percent of the time. Oxycodone 38% of the time and tramadol about four percent of the time the data showed that about seven percent of the patients had what they defined as prolonged use which means they continue to receive at least one more prescription in the ninety to a hundred and eighty days after surgery and then about a half percent had what was defined as long-term use which means they continued to receive opioids for at least three months. After the first three months following surgery
",5,
4066,12059431,Say Jeffrey Epstein is not dead.," I'm just saying like that's what happened this weekend in and you know, Illinois shit. So anyway moving on from. I'm Jeffrey Epstein killed himself. Could you believe that? Of course I get that shit is crazy man. You know, if you guys read about Jeffrey Epstein, um, he's a dude that had his own Island and then he's to take like little girls there and like, you know, I don't know what the fuck they did but obviously nothing good and he was getting caught up and people are talking about how he had a lot of dirt on a lot of people including like the clintons including Trump including like a whole bunch of rich people and then like so he was about to like basically face trial for the all that shit
",3,"Podcaster claims ""Jeffrey Epstein killed himself."""
11192,6640560,"The states that are doing ""better"" are the ones that have no state income tax."," It pays to be a cowboy because of that marketability. There are opportunities for these players that they would not have with every other team and there are I mean way we didn't even mention it. There's obviously the whole no state income tax thing, which is great. But then also but just ask a cold Beasley. Well, he went from one of the largest football markets to the smallest football market and if you don't understand what that means
",5,
16202,2379494,Says his Twitter account has 1.3 million followers.," I'm thinking where's this picture going to go like you love the Ambiance of the store? So you just want to capture it and save it for later or am I gonna go on Yelp two hours later find a horrible review with me in the picture because that would definitely go over well, so that's always a fun little game. I like to be involved in when I see someone taking a picture once someone came in. He has like 20 thousand followers on Instagram. He just starts taking as a video like a selfie video. I'm in the background juicing in a war
",5,
12687,1656462,"Says Oregon’s political tax credit is something ""every state should have and no other state does."""," Losers with no brain cells and you know, you guys were single-handedly ruined encounter for California. I mean the laws in the taxes that are you know thrown upon us as Californians is absolutely asinine right. I mean you go to like the great state of Oregon for example, and you don't have that type of tax. It's actually different ways and every state there's arguments to be had, you know, every state they just roll it into something else for example, California DMV fees. We have the highest emissions in California we have
",2,
3563,10141480,An image shows animals burning in the Australia wildfires," Good Lola get out of there. I want to just be more passionate about standing up for like what I believe in and I just, you know, making more awareness to like a lot of things that are happening within our community within you know, I was seeing I just. We saw some pictures of like the bush fires in Australia. Yeah, and just I mean, I didn't know it's been since October, you know, that's how you know, I haven't been aware and so I just want to be more culturally aware and more more like just passionate about like being involved in like really standing up for like what I believe in and showing my support to like those those groups are like those communities that are like fighting for like. You know what they fighting for like their own voice to be heard and stuff like that
",2,"Podcaster mentions ""pictures of like the bush fires in Australia"", but does not mention animals. "
3915,6851049,"""Europe and other nations (need to) contribute to Ukraine. Because they’re not doing it. Just the United States. We’re putting up the bulk of the money."""," So I hope this isn't getting too confusing but Ukraine is part of the former Soviet Union and they don't exactly get along with Russia. Parts of the Ukraine are at war with parts of Russia. Gives large sums of money to the to Ukraine. So that they can push back against. Russian influence, I guess so that Russia doesn't have too much power over Ukraine the u
",4,Podcaster claims Russia (European country) gives money to Ukraine.
9823,11513613,"When President Abraham Lincoln signed his Emancipation Proclamation, ""there were over 300,000 slaveholders who were fighting in the Union army."""," Thank you very much. That it was something like it down guys, huh? It was okay. Black African-American slaves were in the Union army at the time Abraham Lincoln signed the Emancipation Proclamation saying that everybody is free that is asleep. Right? It's right but since Texas was a republic and we can do whatever the country exactly so it took a union general officer from the US Army at the time fighting for you know, the Union's interest, you know, unfortunately,. He came down to Galveston, Texas on June 19 1865 to let them know
",1,"Podcaster claims ""Black African-American slaves were in the Union army at the time Abraham Lincoln signed the Emancipation Proclamation saying that everybody is free"". "
19513,362767,"""He was offered medical care for his injuries if he would give up military information in return. John McCain said, 'No.' """," They told McCain afterwards. He needed more surgery on his leg but said because of his bad attitude and cooperating with them. He wouldn't receive it McCain remained in the hospital for six more weeks. His left arm remained broken, but slowly healed by itself his legs. However, began to atrophy his body shriveled and his hair turned white
",2,"Podcaster claims ""because of his bad attitude and cooperating with them. He wouldn't receive it McCain remained in the hospital for six more weeks""."
3620,7675231,"Says Koalas are ""functionally extinct"" as bushfires in Australia continue to destroy their habitat."," Right but where you cycling like across Australia or yeah around across so actually there's like nothing in the middle as a few national parks and a few motels. Yeah congrats spiders live koalas are not big entirely convinced koalas are real because I've been to Australia before I didn't see one bus or kangaroo. You don't believe koalas are real one. Have you seen C mon? Yeah in Australia. Yeah, my grandparents used to live in Australia
",5,
10963,6288019,"Women still do not get paid as much as men, even ""for the same work, period."""," Yes, I'm pretty sure we have stablishing and you know, and other cry I prayer we establish an older episodes that men are the first six. Yes, we are proud, but here's the thing though. I still get paid more than women. We do not wrong. It's funny how it goes
",2,"Podcaster (man) claims ""I still get paid more than women"". "
3094,5534490,Says coronavirus is just “the damn flu.”," And coming up child dragons. You guys are screwed huge Seattle Dragon. Tell ya the Corona virus. It's a next Stars could be the end of the world and it is how Planet of the Apes started the guys guys sneeze got on a plane boom goes over there. And guess what you infect an entire contract wasn't it? Yeah
",5,
5957,2894280,NASA Has Just Confirmed Earth Has A New Moon," So it's going to depend on where you are in the world. But from where I am for or excuse me, 5:47 p. Is when the new moon is going to take place. And remember a new moon is when the moon and the sun are so close together that no light can get through. I don't know if they'll come here EB or not
",5,
1143,11059146,"Donald Trump's second impeachment ""cost $33 million."""," I can add I did see on the shade room you guys later that El Chapo all his brother not Apple not brother. I said no tropical brother is Raising 51 million. Yeah 50 million million dollars to try to get trumped impeach. No, I don't think it's out. Is it out shopping?
",2,"Podcaster claims ""50 million dollars to try to get trumped impeach"". "
10963,9631349,"Women still do not get paid as much as men, even ""for the same work, period."""," They're really laid up there really, you know, they've got both legs in a cast because of a horrible car accident or they have needed to move to a wheelchair and. They are relying on the help of other people and for some of them they step into that role and they can they can own in some people really resist it and say I don't like being dependent on other people and really truly it is a hard thing for them to do women. There are women who don't want to ever give up their day job because they like earning their own paycheck. They don't want to feel like they are attached to their husband because they are the financial Breadwinners and other women. They don't mind other women
",5,
2390,7258691,“Alexandria Ocasio-Cortez votes with President Trump more than Abigail Spanberger does.”," Yeah, Knight of Wands is Aires. Yeah, is that pioneering Spirit which is fun because Libra often gets Typecast as this like sweet like kind of like, you know wanting to make the piece but Libra when we're looking at the court cards is Knight of Swords, and we know the Knight of Swords is the fastest moving night. We're talking Alexandria Ocasio Cortez now we. At the Knight of Swords, you know to be sure we feel that with Libra and so but then it's like okay leavers will by Venus. So he put the empress Venus gets to the Knight of Swords and you're like, whoa, these two cards together are really giving me the this embodiment
",5,
13864,6311390,Says she is a registered nurse.," So I'm a mom of two beautiful girls. I have a daughter who's 23. She's a registered nurse. And I have another daughter who is 20.almost 21 and she works in retail and they're both thriving really well, they both love life and they're both very very driven and their purpose with what they're here for and I'm very proud of them both
",6,
16535,5214154,"""We already have $23 billion worth of debt."""," Are we really going to allow the hegemonic banking system to charge depositors for storing our digital Fiat in their insecure panopticon Banks. China's real estate market is shaky and long overdue for a correction Capital controls and seeking yields in a cooling economy have led to inflated real estate prices in China what happens when the market corrects and everyone rushes for the door better have a plan B and the US. Is currently over twenty two trillion dollars in debt. However, don't expect the u. To default on their obligations former fed
",2,"Podcaster claims ""US. Is currently over twenty two trillion dollars in debt"". "
3178,11257389,The coronavirus is “simply the common cold.”," That's very very important. Another one is nutrition and vitamin D. So as we talk about this coronavirus right and let me read off the definition of this coronavirus real quick because it's important that we. And these things and we don't just let the media don't everything got us because you know, we can't trust the media for shift. Yeah, I mean and because you know, they're saying that they don't know everything about this disease in a way that it's moving and things of that nature, but they also saying that it's less deadly than the source
",6,
13874,3327741,"""I never supported"" a state income tax for Texas."," Right really the United States now obviously goes all the California across the Midwest everything but. In you don't from the Mississippi to the right is pretty much. I mean you had taxes in there which Texas was part of the southern states. I believe at that point and I think you had the Oklahoma territories and stuff like that. It wasn't it wasn't the it wasn't very well populated, right? It was it was the Wild West so to speak Brother Joseph said road trip
",5,
18965,9920704,"The Climatic Research Unit e-mails show that the science behind climate change ""has been pretty well debunked."""," So I was coming at it as someone with a physical science background. So I very naively thought that explaining the facts should be sufficient to counter science misinformation and denial and it turns out the human brain is a lot more complicated than I. Sighs so skeptical science, probably shoot a explain what that is is a website that debunks misinformation about climate change and the the approach I take with that website is pretty simple. I just look at all the most common myths about climate change and I debug them with peer reviewed scientific research. The problem is that just supplying the facts isn't sufficient
",4,
14112,3347250,"Says the United States has ""the world’s greatest health care system."""," You know Healthcare is one of them. So talk a little bit about your reasoning for putting the health care in here. So the US has by far the highest health care costs the world on a per capita basis or as a percentage of GDP. So higher than you know, Switzerland Germany Sweden, France Canada, pretty much every other developed country and that of course is another large impact on the consumer and on businesses because it's you know between what?. Actually government to so government businesses and consumers are all paying into that in different ways
",5,
9161,10020306,"""You've been tremendously deceived"" by people who say the Earth is not flat."," It could have been created like that. That's a possible explanation. The Earth is flat. That is a possible explanation now, there's good. It's to believe that it's not
",1,"Podcaster claims ""The Earth is flat."""
17426,4488151,"""CEOs now earn 431 times what their workers earn."""," It's not a world that wants us to be better to get better to be healthier to be safe. And what's worse is that they've convinced the under privileged people whatever you want to call him the poor sort of people that. That CEOs making an exorbitant amount of money more than the employees is. Maybe that's how it should be. That's what because they eventually see themselves as being that when I'm a CEO ma be able to make that much more money
",2,"Podcaster claims ""CEOs making an exorbitant amount of money more than the employees is"". "
3306,6605992,"""Back in 2005, when we did that first point-in-time count, there were over 188,000 thousand people that were deemed homeless in the state of California. … That’s 35,000 more than we have today.”"," So people can get back and forth to the grocery store and stuff. So yeah, they're going to flock to here because this is where they can get what they need. So yeah that it there's a homeless they do a homeless count every year or they used to I don't know if they still do. Yeah, but it's not unique to Pekin East Peoria has a homeless problem. Korea has a huge homeless problem, you know, I drove over by there
",5,
18672,9011385,"Says she introduced a ban on ""dirty dancing."""," I forgot her last name though something. Maybe we shouldn't bring it up. Okay, so she was banned because she's drunk and she's like dancing when I was girls. Who and she's also gorgeous to fall like stunning and we're like, okay. She's like you guys I'm literally gonna end my friends are and she's like drunk like like like moving around and we're just like girl what we don't know where your friends are
",5,
10833,4251723,"""The states that have raised the minimum wage (this year) have had faster job growth than the states that haven’t raised the minimum wage."""," So if you're in an organization that has a collective bargaining agreement just know when. You don't have to be collecting dues. Also, lots of states are making changes to their minimum wage updates for 2020. It's January 1st today. That means the majority of these are going into place as we speak
",5,
15713,100936,"Solar and wind energy are ""both cheaper than nuclear right now."""," So those are three potential downsides of biofuels cool the next energy Supply looking to talk about so let's. So how's that used generate? Sorry ever know this solar panels, these me put on the roofs of buildings or in Open Spaces, like fields and deserts and again, once they've been fitted there's no missions and maintenance requirements are minimal. And the technology is becoming increasingly available and getting cheaper and cheaper says it both both good things to make sure that we're honest as much solar energy as possible again. Similarly G not necessarily the most reliable. So in certain regions, it's not as as useful and option for example in Scotland versus in Spain you can tell which one is going to harness more solar energy and generate more electricity
",2,"Podcaster claims renewable technology ""is becoming increasingly available and getting cheaper and cheaper"", but does not compare it nuclear. "
728,8357662,“Regulating and taxing marijuana—much like we do alcohol—would generate more than $165M in revenue starting in 2022”," And right at the top of our guidance at 95 Million, by the way, the largest revenue figure in a quarter that any cannabis company has ever recorded for cannabis revenues and on the overall net revenues. We miss slightly based on our ancillary or non cannabis Revenue couple of reasons for that one. Those are more variable than our cannabis revenues. We also have a little bit less visibility in. into the performance of our non cannabis units that are independent that have a separate governance structure
",5,
15440,7505719,"Says in Newark ""we’re paying 80 percent of the school budget from local property taxes."""," Also expected the property tax only to come from residential property for those who are like paying for students to go to school. Not just like different landowners or small businesses. I would have never expected them to have to pay towards that high property taxes, especially around here for the school district. So as a border director, you have to remember we're getting elected right? So we're not only getting elected by parents. Yes in the school
",5,
6552,7939120,"Some states hit hardest by opioid deaths ""have more opioid prescriptions than residents."""," Yep, and so then there are yeah, they're on pain meds and they're also depressed and then they get to press so guess what Mormon Church the fucking opioid epidemic is your is your fault is your fault. There aren't opioid academics in most other states. I mean there are some but Moe, but most of the other states where there's opioid epidemic demux are states with very poor, you know, less educated Working Class People who are in situations where they feel trapped you. Is a is a and the people that are addicted to opioids and Utah are upper middle class are wealthy. They are white are educated
",5,
1174,2634407,“Almost 40% of borrowers with student loan debt didn't finish their degree.”," He said that I'm reading it straight from one article. This is not me. Here's the big Fact 17 percent of student loan borrowers are still paying back their loans in their 50s. So, let's see if we can get rid of that by getting into real estate. If buying a home is in your future anywhere consider strategy that will help you build cash flow equity and the bonus ding ding ding ding knock out your student debt
",5,
12769,3703444,"Says ""Canada has one-tenth of our population—yet it issues far more high-skilled visas (more than 150,000) yearly than we do (65,000)."""," You're passionate your thoughtful. So in that bucket, I I check that off in the in the market. I mean Canada where I'm from we have a real problem in Immigration is that we need a lot more immigrants. I immigrated to our country. This is a big big issue
",5,
17160,9639288,"""We have 80,000 abortions in Texas every year."""," You talked about it in Alabama we talked about. Abortion and such as it relates to sex education in Alabama. And then we talked about abortion as it relates to the death penalty in Texas. So I'm sure people do have a very strong reaction to some of these videos. Yeah, and I like to think that we've cultivated a show where healthy conversation even disagreement is absolutely encouraged
",6,
5398,2990252,"Studies are showing California’s wildfires ""are producing more emissions than all of our cars are doing."""," If you wanted to know the Super Trouper Troopers guys are called fire comedy called Tacoma FD to come on. That's right and is exact Kevin Heffernan there whatever Kevin Heffernan and yeah, let me so I think I think it was Kevin put up on his Twitter machine or maybe the grams of the instant that they had to suspend. Production give you the California wildfires. They were filming something right in that area and they had to strip. These are the fire
",5,
870,11586216,Black Lives Matter protest at Iowa Capitol was an “insurrection” like that on Jan. 6 at the U.S. Capitol.," It was only much later in the 16th century that Western artists began to depict Lady Justice wearing a blindfold the blindfold emphasized her neutrality towards a person's status. In society the idea being that every person no matter their social or economic status could receive a fair trial Kendrick states that the Blind Lady in his story has lost something and that she's struggling to find whatever it is that she lost we might speculate that what has been lost is Justice itself as many feel that in the modern era of the United States the idea that the nation's justice system is impartial as a false narrative. We think of the recent black lives matter movement and their protests. The deaths of unarmed black men at the hands of police officers most of whom were later acquitted. We also think of the 13th Amendment which allows for the legal enslavement of convicts and the 1980s War on Drugs that disproportionately imprison people of color these specific and justices along with a general frustration with the American judicial system or Central themes explored in to pimp a butterfly in particular the pre-hook of all right features lyrics that criticized the rate at which innocent black people are shot
",5,
7031,2494316,"""We have 5 percent of world population. 80 percent of opioids."""," They admitted on the stand. Yeah, you know, you're seeing lawsuits against opioids right now. Yeah, Jeff 95% of the opioid consumption is in the United States were five percent of the population. It's the opioids right now are the number one cause of death for men and women under the age of 15 the United States. Oh absolutely an epidemic no question
",2,"Podcaster claims ""95% of the opioid consumption is in the United States were five percent of the population"". "
12563,646285,The number of African-American men in prison has increased fivefold since he left office.," It's about the context the ongoing questions of what America looks like those questions were reaching one of their recursive boiling points in the late 80s and. Early 90s when Sarah was killed in the midst of the AIDS crisis and the crack epidemic both conservatives and progressives were on high alert about degrading safety morality and family values President Nixon's War on Drugs beginning in 1971 was designed to assuage these fears to quote-unquote clean up the country those new policies gained momentum during Reagan's Administration and usually involved jailing black. Like men between 1982 and 2002 the number of incarcerated black men grew fivefold. The face of the degradation of American values was black and urban and the white suburbs were kept out of the equation at least in the cultural imagination the tokars case, of course jailed a white man as well as two black men on charges that were tied to drugs violence and deep immorality. It was the perfect
",6,"Podcaster claims ""between 1982 and 2002 the number of incarcerated black men grew fivefold"", but dates are unclear."
6480,640602,"""The KKK was founded as the military arm of the Democratic Party."""," Shuns the Fourteenth and Fifteenth Amendments which granted citizenship and voting rights to black people were effectively nullified in practice. If not in name as a result the dreams of James Heintz and other Radical Republicans vanished at least for a century. It also meant that white supremacist Democrats suddenly found themselves without an organized opponent by the mid-1870s the kkk's. has had slowed simply because their methods had been so effective by keeping black voters away from the polls klansmen ensured that Democratic politicians continue to be elected and assassinating Republican leaders was no longer necessary the political dominance of Democrats slowed the fight for equality on every front in 1892 a black train passenger named Homer Plessy was. When he refused to sit in a black designated car in the resulting case plus EV Ferguson, the Supreme Court ruled that segregation was constitutional this ultimately led to a practice known as Jim Crow a system of segregation that maintained quote separate but equal facilities for black and white people black people were not permitted to live in the same neighborhoods receive the same quality education
",-1,
4600,2832342,"""College debt has increased 170 percent since 2006 and now exceeds $1.5 trillion dollars, which is second only to mortgage debt and surpasses even credit card debt."""," This means that for millions of young people student loan debt is their biggest liability income from the top 1% Rose 31. 2009 to 2012 but crept up barely noticeable 0.4% for the bottom 99% subprime education in 2012 student loan debt surpassed the 1 trillion Mark as well as credit card debt, as of 2018 federal student loan debt is the number one asset of the US government the United States went from subprime mortgages for poor people to subprime education for poor students. Subprime Education Loans are the worst of the. Sloane's at least a subprime mortgage can be forgiven by bankruptcy most subprime Education Loans can never be forgiven inflation without inflation the banking system man draks magical money show and crunches cast highest will not work a few reminders without inflation mandurah cannot pay back
",-1,
680,1545016,"""Since 2010, student debt has increased by 102% and real wages have fallen by over 8%.”"," So I'm not really sure when they did this report because I let me tell you I'm a little depressed about it and it three years ago. So I'm going to have to go back and look at that later because I'm like really but I think the point is is that we're more optimistic right? I think that's what they're getting at. Even though we have all this student loan debt and high rates of unemployment. We're still optimistic more optimistic than older people craps gotta end at some point, right? We're hopeful that things are going to be better later. So I think that's what that's a positive
",-1,
9115,813171,"""Not one Republican has the guts to recognize that climate change is real."""," I hate politics Ministry of Plenty. I don't know but but I just thought man that line just like so nailed extremists on both sides to me. In our reality the inability to accept anything other than what the party tells you regardless if the party you know climate change is fake because guess what the other freaking GOP doesn't want to accept climate change. So they are so many people out there that I would say are intelligent people but they believed it because the the party put it in a pill and fed it to him and they swallow well and and the fact that like we say like there can be no opposition to it. It's thoughtcrime to think any differently, right?
",-1,
12649,10884248,"On average, college students ""are taking six years to get a four-year degree."""," Have to combine my love for dance with therapy and to have this awesome career. So that's kind of like where I got started. So how many years did it take you total to get your degree 6? Okay. So can you talk to us about burnout? Yeah, so I didn't really know what this was until I experienced it myself and this was something that I didn't know like I had heard of it and I had heard of like. Burnout and stress by hadn't really I didn't really know what to call what I was going through and I just went through everything during the first few years of my career when I first started out I had an amazing job with amazing support systems, but I didn't know how to use my voice
",-1,
9161,3458752,"""You've been tremendously deceived"" by people who say the Earth is not flat."," Out of Outreach to get people involved especially in this age of ignorance. What do you mean by that? It's funny because you know, even even ten years ago. Nobody would think you have this group of crazies could be saying that the Earth is flat. Nobody would take this guy seriously, but you know right now it's not. Yeah, unfortunately, we building and building steam powered Rockets to test it and oh, yeah
",-1,
12882,10415916,Says Democratic Party created Planned Parenthood," Different rates and there were some races that were far more involved and therefore far more human and not only should we believe that that is a reality in the world as far as how we develop our hierarchy we should believe that's a reality and therefore we should cry try to create societies where only fit races if people get to live and get to create Society so that we can create a beautiful utopian society. I hated by many people but Margaret Sanger was a huge proclaimer in propagator of this idea part of me and she brought this to America and really the idea was Exterminating unfit lives Exterminating unfit lies and she was a part of the beginning. What is today Planned Parenthood?. But the unfortunate truth is while today most conservative evangelicals would be against abortion during that time period because of their racist beliefs they were actually Four in many ways the Eugenics movement, which is in all honesty terrifying to imagine and that's just something you hear it and you're like, oh my gosh. I hate that that does not feel good
",-1,
19350,10015949,"If we got solar energy from ""an area of the Southwestern desert 100 miles on a side, that would be enough, in and of itself, to provide 100 percent of all the electricity needs for the United States of America in a full year."""," It would I mean what if that like one area just like something happens. Yeah image then the United States just want to have power if we move that's why it would have to be like, you know right out. Yeah, but it's just crazy to think that if we took a small portion of Texas and field to what solar like we can we can literally use that energy. I think the issue is it's the area the size of Texas right? We obviously can't take an area of Texas and like. Solar panels there because the issue of like solar panels is like battery life because like you can generate that much power but like in order to like store it for later or like, you know, a transport it, you know, it's going to fall off eventually
",-1,
8570,5255861,Says she was the first in her family to go to a four-year college.," So you're in Seoul she's in Seoul she's and so making me loves music, but she can't tell them scared that they won't support. Okay big Asian family. I think she was supposed to go for like college for big universities like total kind of like that. Is she like a study study? I wonder why she's from is she American. I'm getting the vibe that they're not Korean because she moved to Korea for work
",-1,
10915,5543739,"Social Security and Medicare are ""a Ponzi scheme."""," Take care and I'll just go spend this at the blackjack table in Vegas, but it's still not the fucked, you know, at least my money isn't disappearance of other way. Yeah, I always wanted to be like I thought if I was approached about a Ponzi scheme, I would just be like, all right. Listen, I don't care if it's a Ponzi scheme. Just let me know if I'm one of the early people that gets paid. Yeah, I don't care
",-1,
7510,9921326,"""Martin Luther King said our lives begin to end the day we become silent on things that matter."""," This is a crazy world and we are polarized in our thinking there is so much yet to do when it comes to Racial equality to civil rights. So far and yet we still have so far to go. Martin Luther King's life. I always have been and I continue to be and I hope with God's help that I will never take the easy Road when it comes to making sure that people are equal in the eyes of one another as well as God's eyes. I pray tonight that I will be courageous
",-1,
15516,6862053,"""No federal official at any level is currently allowed to say ‘Merry Christmas.’"""," I always say that we started we started without even explaining why we're here why we're here. What are you into? Well, you know episode to episode 2 vol 1 season 1 season one. We want to say Merry Christmas. All right, it's actually a festive the start of December but we're recording early. I can't believe it's a symbol of I can I've been waiting six months the whole the whole
",-1,
1174,791439,“Almost 40% of borrowers with student loan debt didn't finish their degree.”," I mean, it's a terrible place to live but it is a wonderful tremendous University. And as one of the you know, the students that had to work her way through school. So I wasn't saddled with student loan debt. I got a job in the works that he department or I work study job in the special ed department at Gonzaga. And all of these special professors were all these things called behavior and with which I had absolutely no idea what that meant
",-1,
12652,7513934,"Says ""in Oregon today, the average debt upon college graduation is more than $24,000."""," I feel like I don't make $79,000, but I guess it just depends on what field you go in and your experience and all that kind of stuff. And the lastly I just wanted to talk about the debt of college for loans and all of its tuition and stuff. So the average debt for a college graduate is 37 thousand one hundred thirty seven thousand one hundred dollars. And that obviously has interests like at least a four point two nine percent interest minimum for your loan for your dad and that's going to add up and I know people that have been out of college for 20 plus years and they still have student loan debt. So really what we're going to end this off on is I think college can be a scam
",-1,
