Fact Checked Claim Index,Podcast Claim Index,Fact Checked Claim,Podcast Claim,Stance Agreement,
3563,11000006,An image shows animals burning in the Australia wildfires," That just reminded me of. also of it's like Barry off topic, but I'm not really very upset but there was a girl who raised like thousands of dollars for I think's the. animals in Australia that are like getting burnt. Yeah the fires in Australia. She raced like a shit ton of money by sending nudes and like her family like this wonder and she had like a bunch of like flak for it and her Instagram got removed her something and she's Australian
",2,
9711,7272877,"Planned Parenthood is ""not actually doing women’s health issues."""," Yeah, it's fun and I love practicing but at the end of the day like, you know kids can come into this world. And so if you're not ready for that, you need to at least use protection and that's where like Planned Parenthood granted. I'm not an expert on Planned Parenthood. But like I least know that they it's a government program sponsored by taxpayer dollars. That's where people get real
",5,
3685,11448384,"Says his campaign hasn’t accepted corporate PAC money and isn’t funded by ""special interests."""," I don't know what he so two or three million dollars a year. What are you getting me? Like the president is significantly underpaid and if you pay him, I mean if you pay him that amount of money, he doesn't need to take these speeches. He doesn't need to take this corporate Pac money. I mean, maybe it sounds maybe it sounds naive but. We live in a day in a time where things can and are more transparent really than ever
",5,
14973,4879130,"If Rhode Island raises the meal and beverage tax to 10 percent, it would be the ""fourth-highest in the nation."""," Analysis of 65 years of United States of America rainfall records show the lower 48 states have an increase in heavy downpours since 1950. The largest increases are in the Northeast and Midwest which in the past decade have seen 31 and 16 percent more heavy downpours compared to the 1950s. Rhode Island is the state with the largest increase 104 percent. McAllen Texas is a city with the largest increase seven hundred percent. Heavy downpour and the analysis are the days where total precipitation exceeded the top 1% of all rain and snow days during the years 1950 to 2014
",5,
14495,3547959,"Obama has ""racked up more debt than any president in history — over $5 trillion."""," Yeah, because 21 trillion Donald Trump has been honor now. We've been in that long before Trump as a thing. I think like a solid 10 trillion in debt during his administration. It's just it's just you know, the national debt is. Has the I don't even think it has anything to do with any president
",5,
2021,5307039,“Bill Gates says you don't have a choice to be vaccinated or not.”," Well, you know that all of these people they have they have a Common Thread and and if you catch this, right because what we're talking about is pro-life and these people are pro-life. They're pro-life are ways that we don't even imagine. You know, Bill Gates is spending billions of dollars to provide vaccinations in Africa. What do they even have a school others with school? Yeah, I mean what what are these vaccinations do they help people live longer if Oprah has schools throughout South Africa Rwanda Zimbabwe at she's got schools all over the place why because education is, you know is a key to life, you know, Warren Buffett is investing billions of dollars. In Western Africa, why because not not not because it's not even a big Roi thing because he's got other Investments of the vehicles that make way more money, but what he's doing is that he's trying to help preserve life
",5,
10653,4449453,Georgia ranks No. 9 in the rate of women murdered by men.," Here's the thing the majority let me repeat that again for the people in the back. The majority of black girls are sexually assaulted before they turn 18 in the black community the majority the majority also 80% of black women are the Breadwinners of their households due to single motherhood and also, um black women are literally murdered at a higher. Rate than any other race of women in America over 90% of black women who are murdered are murdered by men in their community in the majority of the time. They're murdered by their intimate Partners. So taking all of this in how and what way is that the black community protecting and defending Us in what way is the black community bettering in elevating us?
",5,
1063,8854160,“Pipelines do not freeze. They are naturally insulated. They’re buried beneath the ground.”," Well, we do want to make sure that we are cleaning the the stuff at the end of the year, but the others not a problem with. it getting hung up. What it will do in the pipeline is freeze. So figure if you have an old set of snack freeze, you got to wait for it to sort of really five before it starts to flow again, which is a disadvantage to the lines. Whereas a bucket you've only got a thug that little 2 to 3 centimeter
",3,
8570,1588231,Says she was the first in her family to go to a four-year college.," She never wanted to be a stay-at-home mom. She wanted to work that was her dream. She wanted to finish college. She wanted to have a career and so being a stay-at-home mom was not something she ever wanted to do and we were well aware of that as kids. She would tell us no
",6,
5957,7130117,NASA Has Just Confirmed Earth Has A New Moon," I hope everybody's having a good day had a good week. Hope everyone's energy is amazing. Today is a new moon on. Yeah blessings and abundance and increase and not bundles and problems. Well, yeah, but this is solution
",6,
5566,8888989,"""Giant rats plague New York City as 4 homeless men found eaten alive"""," They talk about like rats. This is the this is the very beginning of the movie. They talk about run York City's already covered in rats. Anyway, okay, but that's not gautham. Okay, but see I agree with that, but I'm just
",5,
2864,1966414,Mosquitoes can transfer COVID-19 “from person to person”," They often transferred to the host organism by a vector such as an insect or mosquito an example of a disease caused by a protest is malaria. Malaria is spread by the female anopheles mosquito. So the mosquito is the vector even mosquitos carrying malaria, then it transfers. The infection into a person's bloodstream when it bites them malaria leads to recurring and severe fevers which can cause death. So it's not something that you want to get
",5,
1239,9410504,"Insulin prices have ""gone THRU THE ROOF for patients/taxpayers bc of manufacturer, health plan & PBM biz practices."""," Yeah, it was over they don't they don't play around bro, but it's just really it's most other countries. They can pay a lot less for the same treatments. You know, what's really crazy like like insulin insulin is sturdy tax dollars. Our tax dollars are paying for these Public Services, like police department and ambulance and stuff like that. At right but yet we still get fined for them
",2,
15971,11277060,"""We have 10,000 baby boomers retiring every day."""," Just you guys know, there's about 300 and a half million Americans. So breaking that down for a second one of the largest years in the baby boom was 1959 with 4 million 97,000 baby boomers born assuming not all of them have made it this far. Let's round down to 4 million baby boomers. That means 4 million baby boomers are going to turn 60 this year. That's 10,000 958 Baby Boomers who turned 60 every day
",2,
9635,8639376,"Pediatricians have cut down on the number and proximity of vaccines because they recognize there have been ""too many in too short a period of time."""," And I know you have a resource for that right? Like the your yes. Is there anything you want to add about engine? Oh, I mean honestly, there's just too much probably to talk about I've done other podcasts on it. So maybe you can refer to those or even I mean, obviously the vaccine course is very rich in that but no there's I think that's pretty much the biggest some as I just like to assess the child individually and I go. How to really understand the different risk of exposure and risk of adverse reaction and then we come up with a plan and then that's something that you know, the parents ultimately choose. So now I feel like we at least got through a quite a bit
",5,
12011,4887766,"Marijuana today is ""genetically modified,"" with THC levels that ""far surpass the marijuana"" of the 1970s."," Hello, my lovely listeners today. I'm going to be discussing a very important topic that I think a lot of people need to know more about I'd like to say and start off with I am not promoting drug use but I am logically discussing one of the biggest topics in mainstream media for the last several years, you know. Even more so since honestly the 60s 70s when it really became more prevalent, but I'm going to be discussing cannabis and psychedelics becoming legalized all of that. I'll be using examples of my own experiences with cannabis psychedelics and my latest Venture into micro dosing I want this episode to be very informative. Done my best to track down as much scientific data as I could so I could better explain the wonderful benefits of using cannabis experiencing psychedelics
",5,
1121,9536791,"Photo shows “Earth, Venus and Jupiter as seen from Mars.”"," We flew away from the Sun and found a bright red planet with a Dusty surface with a robot on it. What do I spy? Shout it out. I see Mars our neighbor in the solar system. Switch your brushing to the other side of the top of your mouth brushing and Tiny circles around each tooth that robot that we spied on the surface of Mars came from Earth its name is curiosity and NASA sent it from Earth to Mars to find out if there ever was or could be life on Mars Curiosity is the size of a car that has six wheels and a long robotic arm curiosity even has a camera for taking selfies on Mars someday. Hopes to send humans to Mars to maybe someday you'll be able to take a selfie with curiosity switcher brushing to the bottom of your mouth
",5,
16202,3154876,Says his Twitter account has 1.3 million followers.," Ready big enough, but no, no do it do it. I saw Noah kind of doing his thing and I like this guy kind of is like me and he played Sports his whole life and he's this, you know, he doesn't look like the normal group at that time group fitness instructor, right had it up and and and I was like, he's figure something out. So when he had didn't have 70,000 Instagram followers in the beginning of Instagram, I started following it was get a few thousand. I think this guy knows something that I don't know and I want to get into this industry and that was you know years later I went wound up happening, but how did you meet him?. So a great lesson for anybody listening
",5,
3451,1568428,"""NEW INFO SAYS KOBE BRYANT AND ALL 4 OF HIS DAUGHTER HAVE DIED FROM HELICOPTER CRASH."""," I know it's tough because I can also make somebody's career. You can go from something and nothing by being the first person like at TMZ to come out with that information. Right but as you're seeing it that's not the case with this because when this situation all that was re-released was Kobe Bryant died in a helicopter crash, there was no other details. So it was like why like if you're going to be the first one to release it at least have more information than just Kobe Bryant died, like people are going to question but like we said,. Said we are sending our prayers and thoughts to his family as well as the other families that were affected that were lost in the helicopter as well
",2,
12894,11571603,"""The violent crime rate in America is the same as it was in 1968, yet our prison system has grown by over 500 percent."""," They account for 60% of those imprisoned. The incarceration rate for black men is six times higher than white men and one in three black men can expect to go to prison in their lifetime. The number of prisoners in the US has increased 400% since the Reagan Era nearly 50 percent of federal prisoners and 18% of State prisoners are locked up for nonviolent drug offense crimes due in part to the War on Drugs. Also during this time. The private prison industry was born that is privately owned prisons contracted by the government to house their inmates private prisons have seen a dramatic increase in their prisoners since the year 2000 the number of
",2,
9635,2465565,"Pediatricians have cut down on the number and proximity of vaccines because they recognize there have been ""too many in too short a period of time."""," Isn't that in fucking the Holy Grail? Yeah her so fucking someone's father your father. I'm not I'm not sure about how she handled the two years and under vaccinations in my opinion. I think for someone who's looking for that middle ground as a not loading the kids up with vaccines all at once that scenario our method isn't bad. I told you I did some research unbelievably among the myths are that having too many vaccines at once is a problem for like babies and stuff and and the the the the. For Disease Control or public health
",3,
4711,2778292,"Prescription drugs ""are nearly 20 percent of our health care costs now when you include hospital prescription drugs."""," Maybe the pharmacists or the pharmacy technicians with those that work in a healthcare setting but most importantly it impacts the patients. And so because sometimes even the aspect is that it's a kind of a trickle-down. We're like, it affects hospitals because if the hospitals cannot afford a medication then you know, they're not going to get it they'll get something else. But then the problem comes where a doctor prescribes you a certain medication that the hospital can't afford. Lord now we're in an impasse where we can't get that medication for you
",5,
8141,7324105,"""Medical-grade marijuana alone will not get that patient ‘high,’ no matter what level of THC, CBD or any other compound is found in the plant."""," Yeah smoke some cannabis thinking it's good for PTSD and then jump off a roof and kill themselves because they're having such a hard time with the kind of cannabis. You didn't explain to them what I tell people who have PTSD who specifically suffer from having anxiety when they smoke cannabis like they don't smoke cannabis because every time they do they get anxious I tell them the best kind of. Medical cannabis to smoke is happen. Yeah hemp flour cross. The board is the shit for PTSD
",5,
9015,5219669,"Says Mahatma Gandhi once said, ""First they ignore you, then they laugh at you, then they fight you, then you win."""," all the Innovation actually occurred the same thing will happen with Bitcoin or if I steal a term from Andreas the internet of money why because strong simple stable foundations will always work best. That is just physics. Quote first they ignore you then they laugh at you then they fight you then you win Gandhi. And if we look at the internet, the story is no different one the phone company's first dismissed it because they measured its capability through the same lens via which they measured themselves number of phone calls quality of the phone call to when they saw it taking off they ask quote. How do we buy this internet thing?
",1,
14112,595712,"Says the United States has ""the world’s greatest health care system."""," Can't sell across state lines of the whole thing. It's not Healthcare Healthcare is not the Prouds health insurance. We have the best health care in the world. They health insurance is a different story 9i method of Brandy one's own opponents with sweeping and demeaning language that abstractly categorize them as quote right wing or counter-revolutionary. You could also throw in because this was written 2016 then in the r word racist has been thrown out way more in the last couple of years
",6,
6334,9929678,"Half of the proposed federal tax breaks ​""would go to the wealthiest 1 percent."""," And despite that even further reducing GDP is a perfect example of a system that is not functioning. Does it make sense to lose 60 cents for every dollar when we could just as easily gained five dollars for every dollar does it make sense to cut programs that grow the economy and instead depress the economy by increasing the concentration of wealth among those who consume less these policy decisions are holding us all back every single one of us. No matter how rich or how poor these decisions are costing all of us, even the top 1% will likely require being taxed more to unbreak the system. So how can being taxed more actually result in being better off? Well, imagine having a billion dollars two hundred years ago. If you wanted to travel somewhere you would be limited to horses in boats
",5,
15822,5565694,"Says his parents ""came to America following Fidel Castro's takeover"" of Cuba."," He was he was dead literally dead guy on the cruise ship was a doctor came down to dog ball Billy brought him back to life. Oh man, you're paid the Northwestern when you what do you think when he came back to life? He said why did you do that Zito? Jose Perez is here ladies. Of Cuban origin actually parents came from Cuba, right? Yes, sir. It's your first generation American citizen your country. All right, and your family? Yeah, I belong here
",6,
694,2370998,"""There is no law that deals specifically with the term ‘partial-birth abortion.’”"," There were a series of letters that revealed that she became pregnant with Diego Rivera's child. This came as a shock to her as she had been told that she would never be able to have children. However, the doctor urged her to get an abortion because he explained that a body would not be able to take the pregnancy to full term. However, the guilts of the. Abortion, it was overwhelming when she got pregnant a second time in 1932
",5,
11740,596040,"Most of the people who have signed up through the Obamacare exchanges ""already had insurance."""," Tell him it's communism explain it. Why how its Marxism? What is the endgame of feminism?. If you hear a government talk about Healthcare bring up this health insurance. Just correct, you know the little bit people were like being, you know, something to knowledge that you'll get doing it charitably of course, don't call anybody an idiot, but in reality if we want Western Society to be at least saved by obviously do all the everything we just said, I just got done saying but men's voices cannot be silenced. They got to be heard
",5,
3440,10142516,Says a 392-year-old shark was discovered in the Arctic Ocean," Helicopter got have become held a copy on Savalas being one of them and and I am at age 14 o 95 which was basement from Idaho appears to be similar to helicopter real manasa V Urban also e but it had but has unique. Fledge like edges are parts of its teeth and I have an age 43 982 also from Idaho was the largest snow has the largest known spiral diameter of 56 millimeters for the for the up for the outermost pollution and that was dealing with preserved but the but is it completely preserved and it's still partially buried and here's something I'm pretty sure that will shock you folks while helicopter Eon looked and I could and acted like a shark. Scientists now believe that it wasn't a shark. They believe that they're related to chimeras. And those are cartilaginous fish that separated the lineage from sharks sub 400 million years ago and chimeras are actually deep sea fish that are known for their large heads and I like to come here is also called the ghost shark and and sharks have replaceable
",5,
3536,2163878,Says guns are required to be registered.," What is seen as a sacrifice at first can become the reason like the purpose another words? It's kind of a pain in the ass to go hunting right? You gotta get your shit. You get packing it again, like for me I used to go to Wisconsin you had to get an airplane. You have to register the gun. You had to buy your ticket. They're calling me and fucking October about it
",6,
3563,10753581,An image shows animals burning in the Australia wildfires," I don't get it. I'm bash and I know we talked about a lot of stupid shit what people don't don't really like think we're being serious. But this this segment we're going to talk a lot about animals, right? And we think it's really really important to understand that Australia is suffering from the fires that they are really really badly. It's it's devastating a lot of. Different species that are only indigenous to Australia much like the koala which is now endangered because of it
",2,
10425,7156609,"Science is ""very certain"" that the measles vaccine doesn't cause autism."," So why the fuck would you like right I get the whole premise is so people aren't sick. What kind of vaccine is was that though that you was really that's just a basic meet some meat mumps and measles. Yeah, and so that's the whole theory is that the things that are in the vaccines give your children autism give your children a DD because they're poison. Basically, I got a DD I know and okay, you got we got we both we both have a hodgepodge of shit take a peek. It's like a grab bag nigga
",4,
1790,5183411,“WHO now says your child’s presence in school counts as ‘informed consent’ for vaccination - parental presence not required.”," Lots of students still out of school for not being vaccinated is this giving us Gem and Enoch has of course referring to schools either who have been mandated by the government or they themselves are mandated not to allow children who are not vaccinating. So this fellow was asking is this giving us some fellow or woman I do not. Is this giving us so many NOS what about vaccine choice and informed consent parents being coerced into vaccinations their children if they want their children to school that makes sense. The vaccine industry is trying super hard to cover up a lot of not proper things. They're doing and make loads of money for each vaccine given are we getting pigs husband Charles? Mm
",5,
17224,6401540,"If you tried to pay out $1 trillion by handing it out at $1 per second, it would take more than 31,000 years."," Oh, there's by the rack wrinkle. It is somewhere over 20 trillion dollars. Yeah, if we were going to pay back 20 trillion dollars at the rate of $1 a second, it would take six hundred thirty three thousand seven hundred seventy nine point one one years. The fact of the matter is historically great powers are always sunk by excessive debt. This is another entire we got these here, right? But the fact is whatever you blame our excessive spending off
",1,
13969,2746829,"""Eight million Americans have dropped out of the work force since (Barack) Obama became president. ... The real unemployment rate is 19 percent."""," I'm a could go on and on them and GDP growth. It was abysmal and this country, you know, you're a point eight percent point nine percent GDP growth under under Obama. You had 10 plus percent unemployment During certain periods of time under under, you know, under Obama and look at it. Today wages are growing the fastest I've ever grown unemployment the lowest it's ever been female unemployment's you know, if the bestest ever ever been the same with Hispanic and African-American and you know, I could go on and on consumer confidence is through the charts for one case or are off the charts. I mean, they literally doubled in value for one
",4,
6885,10344194,"Although California has ""the sixth largest economy in the world, we also have one of the highest poverty rates"" in the nation."," And it's almost one-and-a-half California's as well. Well, I don't have an in a much smaller area right then Canada or probably even California. Yeah, but so so but think of it this way right California is the fifth largest economy in the world, and if you look at that population bright a perspective you add these. This whatever the quad state area whatever you want to call it that's got to be very meaningful and very impactful. Well, this is why I you know, I've said it once and I'll say it again
",4,
9221,9299002,"Hostages were released as soon as Ronald Reagan took office because Iran perceived that America was ""no longer under the command of someone weak."""," However, it failed and resulted in the deaths of eight service. Hours when their helicopter crashed in adverse weather conditions, Jimmy Carter worked up until the final moments of his presidency to ensure the hostages made it home. However, it wasn't until minutes after Ronald Reagan was sworn in as the 40th president that the hostages finally left Iranian airspace. Thanks for listening to today and True Crime. I'm Vanessa Richardson for more stories like this
",2,
12767,4982022,"Says Texas has more than 80,000 abortions each year."," Here are some of the statistics of abortion if you don't mind from 1973 from 2011. Can you see that from 1973 through 2011 nearly 53 million legal abortions. 53 million legal abortions occurred in the United States. among married women for percent of pregnancies currently in an abortion among unmarried woman 27 percent of pregnancies end in abortion women in their 20s accounted for the majority of abortion in 2015 and had the highest abortion rates adolescents under 15 years old obtain point zero three percent of all 2015 abortions women aged 15 to 19 years accounted for less than 10%. Reasons why matter of fact put it in the playlist that's going to help me so reasons why reasons why a person well, let me give you Arguments for abortion
",5,
8734,5670062,"Marijuana is a Schedule I drug, ""which you understand means that you can’t do any research about it."""," And you know in the u. Even in medical markets where we have just medical we're looking at cannabis as purely medicine. We still have almost no research and a lot of that as as many of you know is because of the sort of the way that cannabis is scheduled so as a schedule 1 substance it basically what that means is that cannabis has quote no medicinal value, which means there's no reason to do research. So doing research on cannabis in the United States is. There are a few groups who are allowed to do research on cannabis federally, however, they have to get their cameras from a specific place, which is in Mississippi
",1,
3219,1339626,“Shands Hospital of Gainesville Florida has confirmed its first case of coronavirus.”," So this is not a Chinese problem. There's been two cases. I believe confirmed in like Chicago and one other place the third case now of the Corona virus has been confirmed here in the United States Health officials in Orange County, California. Say a person they're tested. It for Coronavirus on Saturday after traveling from Wuhan China the epicenter of the outbreak
",5,
1174,4305577,“Almost 40% of borrowers with student loan debt didn't finish their degree.”," graduated in 2014 with my undergraduate degree in communication disorders. I then moved to Oregon for three years where I earned my Master's in speech and hearing sciences and during that time. I really wasn't paying a whole lot of attention to my student loan debt. I was just getting my interest notices and tucking them away in a folder and not paying a great attention to it. So I knew I needed to face my debt when I graduated in June of two thousand eighteen and I was reluctant
",5,
9635,5182888,"Pediatricians have cut down on the number and proximity of vaccines because they recognize there have been ""too many in too short a period of time."""," From the fact zone right that the rubber encourage people to have their children vaccinated against polio. Is it correct to infer that the rebel would be Pro all vaccines?. Abbi Jacobson, there are now some something like 16 different vaccines for children the USA of which are total of about 70 doses are recommended to be given to each child. There are many potential harmful ingredients in vaccines albeit in minut amounts, but the facts can be a cumulative so that when x 70 or so can well cause damage to more sensitive children the national vaccine injury Compensation Program has paid out over four billion dollars. Families of such children, even though they reject the majority of claims and the stood that understood that most cases are never reported on the families don't even try to make claims
",5,
8755,7915794,"""Under the federal Controlled Substance Act, marijuana is listed in the same Schedule I as heroin,"" even though ""marijuana is not a killer drug like heroin."""," The second meeting called I can remember thank God schools and they school I'm moving on Sunday school. I went to a Sunday school meeting with all of the adults and I remember a teacher comparing heroin addict and their effect on families to someone choosing to give in to their homosexual. So the same as heroin just like marijuana is the same. As crystal meth actually. Yeah, let me shoot up some of that good Colorado Bud
",5,
15219,11935302,"Says a 1915 referendum on women’s right to vote ""went down in New Jersey. And it took the Legislature to pass it."""," Like you said, they'd been from you know, Millennia attending births gathering this knowledge passing it down informally and sometimes formally and another thing though that attracted women to the hospital's was the use of Twilight sleep. So there was this promise of having a painless birth and in the early 1900's that was really appealing and it was also. At the time when women were trying to get the right to vote. It seemed like a natural next step in their extension of their rights was not only the right to vote but the right to have a painless childbirth which Physicians began marketing as another reason to give up midwives because we can offer you forceps. We can offer you safe deliveries and painless deliveries, which unfortunately was pretty much a lie, though because although they had Scopolamine and morphine
",5,
4617,6330225,"The sports betting bill would create ""$12.5 million to $30.9 million in additional revenue for the state"""," I'm being told to ask you about sports betting times.com, which we covered at the literally the beginning of this conversation, but people are telling me in my ear to cover that again. So what is sports betting dimes.com which is what you were covering. We talked about it earlier to show if you're a publicist for sports betting times
",5,
9348,7539895,"Jeb Bush’s plan for Social Security is ""disastrous for seniors and raises the retirement age to 70."""," Never intended for this amount of people who were retiring so suddenly they're realizing that people are retiring and begin after giving more and more people alive. Thank God for the advancements of medicine and understanding of health and slowly but surely people are starting to live 80 90 100 years all the sudden you have more people living longer and each person is living longer. So suddenly Social Security is not cutting and the age of retirement is creeping up from 65 to 70. E5 285 I'm telling you. I know people who are 70 75 years old
",5,
4761,2465859,"Courts have ""quietly confirmed"" that the MMR vaccine causes autism."," So like real top-notch, so. One of the big things is that the the correlation between Autism and this up with that guy that Andrew fucking gastroenterology. Andrew Wakefield said this is that vaccines cause autism right? They don't make doesn't that's not true. He said there was a potential link that they might whatever but this is what people have latched onto right? So Emily vaccines don't cause autism ASV AF AEI is says says it blows me away that people prefer a potentially dead kid to a potentially autistic one and I wrote a blog post. About this years ago where I was trying to be like diplomatic and not to not to say hey not not to be like discredit all the indirect
",4,
16202,1540430,Says his Twitter account has 1.3 million followers.," I want to thank literally everyone listens to the show. Everyone that follows us on Twitter. We just hit a thousand followers in Twitter. We're at like a thousand twenty-five Pat. I'm not like a vein dude
",5,
13864,4559226,Says she is a registered nurse.," I did find you an Audi A8 from 2014 had a hundred twenty two thousand miles on it, but that's fairly recent. So if it's just highway miles, it's like my sister. She's a registered nurse and she works for an insurance company. She says once people hit 90 years old. They just keep going
",5,
12692,7025138,"The minimum wage is ""lower right now than it was when Ronald Reagan took office."""," It seems like a lot of pipe dreams, but boy wouldn't it be interesting if you could pull it off?. One of the things that him and told see seem to be for that I'm against is the raising the minimum wage to $15. I've heard Joe interview economists who talked about how the minimum wage is actually was making the poor even poorer. It's not helping them. It puts them in a different tax bracket
",5,
827,6722117,Two photos show climate change “is a hoax.”," You can say whatever you want to gloat. Okay, I can say whatever I want. I think that climate change is real. I'm very pleased and impressed that there are a lot of young girls that are in leadership in the climate change discussion and a lot of young girls of color. Shout out to all the young kids out there doing what they need to do
",4,
1943,11449205,"Ranked-choice voting “increases voter turnout and voter engagement."""," This is tweeted out by Amber Yang on March 28 at 11:12 a. Pacific Time new policy. Number two ranked Choice voting our current first-past-the-post system rewards incumbents often does not reveal voter preferences because people are afraid to waste votes the process matters ranked Choice voting voting would improve our democracy. That is the verbatim tweet. So what is your feelings about this? Do you know do you know what this means? Do we need to explain this more? I think we probably do need to explain this more
",2,
18846,8833185,"Among the money spent on health care in the United States, ""46 cents on every dollar spent is through Medicare and Medicaid."""," So it's not free at all. It's an illusion and then average family healthy family base 8,000 10,000 dollars as pre insurance premium, then government spends humongous amounts. And dollars is spent by the government and Medicare Medicaid. So you're looking at Fantastic expenditure is very poor outcomes and with enormous misery. That's not the model
",5,
5566,10650644,"""Giant rats plague New York City as 4 homeless men found eaten alive"""," They're not asking a tree how long it takes to grow they're doing measuring and shit. You know what I mean? No. Listen, there are more rats than people in New York. Not in the u. Don't read fuck in
",5,
1682,6061014,The number of coronavirus deaths is “almost nothing.”," That's a that's going some people over in the Asian lands China. Let's preface this by saying that I've literally done no research or reading about this. I don't really actually know anything about the coronavirus. We're just going to talk about it. I did see something on the news though that a bunch of people that had the coronavirus left China
",5,
4186,10432766,"""Nearly every state that has legalized (marijuana) has also legislated that you lose your right to own a gun if you are prescribed, or buy it recreationally."""," Because like how can you like like is this clearly shows his she doesn't know anything of about product. Well, I think if you refer her position and you know the race and campaign she was trying to do sheer assessing her own, you know, very clean story aside, you know in comparison to Trump and I mean, I don't want to get into the politics of it. But you know in the state's cannabis is a is governed by federal law, but also. So then they are the federal position but then state-by-state have their own laws as well. So, you know, that's why there are several states where it's legal federally it's it's it's ruled as a as a controlled substance and thought in the before when you were seeing that you when traveling to places after you drop like after you left school you weren't driving places where you really learned and researched about CBD
",5,
12065,9859619,"""We expanded charter"" schools."," In favor of charter schools. So I'm looking at this post and I'm realizing they are using their platform right now in my opinion. Yeah to say look we need more Charter Schools, see how these parents can't get their kids into Charter Schools. They're not saying no, we need to figure out how to put Public Funding Charter funding put there in the public buildings. Why are they charter schools? Because it's called that it's still a public school
",6,
8967,8454067,"""GDP was zero essentially for the last two quarters."""," Growth rate against the forecast of 2.2 now, that's one percent above the consensus prediction. Now, that's the GDP for the first quarter, which is very very great. Keep in mind guys. That's Advanced GPS not final GDP
",6,
5525,11221541,"Says Beto O’Rourke is ""the only candidate to the U.S. Senate to call for"" impeaching President Donald Trump."," This moment of peril produces, perhaps the greatest moment of promise for this country and for everyone inside of it. Okay, that's better O'Rourke announcing that he's running for president. And a lot of a lot of Democrats are very excited for Beto Beto O'Rourke ran for the Senate here in the state of Texas and not in the state. He's rap for US Senate but senator for the State of Texas as a representative of Texas against Ted Cruz in the. T what you are we in 29 in the 2018 elections so he ran he did not win but it did come very close
",5,
9221,11612237,"Hostages were released as soon as Ronald Reagan took office because Iran perceived that America was ""no longer under the command of someone weak."""," A week later on Election night November 4 1982. Jimmy Carter's suffered a stunning defeat he won but Forty Nine Electoral College votes to Ronald Reagan's 489. The hostages were still in Iran that November and it was no coincidence that they were freed by the Iranians just minutes after Ronald Reagan finished his inaugural address on January 20 1981. Most political analysts believe that no matter what he did as long as Jimmy Carter was President. Iran would not free the hostages though
",2,
13864,788880,Says she is a registered nurse.," Five stars if you're a human and you've ever felt anxious this episode helps you learn why your brain acts away it does so great. Thanks for the Insight. And guess what? She's a nurse. She has nothing to do with the, you know, a be a world and the fact that she listens every day makes me think that we actually are really relatable. So thank you Kristin
",5,
9500,3973710,Says Denmark’s suicide rate has been about twice as high as the United States’ over the past five decades.," I'm 18 years old and I like to play Xbox outside of school on to the facts. Are you going already?. Suicide rates right now are high higher than any time in the past 10 years according to the Center for Disease Control and prevention in 2015. It was a 14 people per every hundred thousand compared to the 11 people per 100,000 in 2004. Another horrific fact is that the attempted suicides are approximately 20 times higher for both that makes it pretty obvious suicide truly is on the rise, but what our schools in the government doing to help slow these rates
",5,
12766,10072601,Says a growing number of extremely premature babies survive into healthy childhood.," And so Piaget's hypothesis was something like this. Well, chill babies are born very very immature. You might even say that they're born premature. So a human baby. Maybe if you took a mammal of read about human size and you said well, what's its average gestation period across the animal kingdom you'd find out that Forum animal of our size
",5,
1186,4252509,Raising the national minimum wage to $15 per hour “would destroy up to 3.7 million jobs.”," It's different than a an HSA which is a health savings account and health reimbursement account has some different rules to it and there could be some cost saving factors and features to it. So if you haven't looked into an HRA or an HSA definitely check both of those out you talk to your broker about them, but an HRA there are some changes that are either out or coming down the pike. And you definitely are going to want to go ahead and take a look at that at the national level and the US House of Representatives has passed a $15 minimum wage bill. So minimum wage has been one of those things where again Patchwork law. It's been kind of creeping up through the ranks
",5,
4641,8284785,"Says Arrowhead Stadium ""is considered the loudest stadium in the world."""," We're going to get destroyed and there was a lot of joking about their morale being down if that's the case. You can't tell from that Stadium. The stadium is so loud. Those cowbells are unbelievably loud. I think it poses a real challenge anything that goes in there and I thought Alice you dealt with it really? Well, so
",5,
2754,9075065,"Says only certain face masks are effective and others, such as cloth masks, are not."," I'm gonna wear a face mask. I'm gonna wear one of those. No, you don't get to wear face masks. Nope, wha they don't wear face masks and baseball anymore. You're not you're not
",5,
1027,9719903,"“Next week has a time change, full moon and Friday the 13th.”"," We have our fans. I really appreciate it. Tomorrow's Friday the 13th. Well, that's a spooky ookey episode. Yes, wait episode for tomorrow
",5,
2960,1819329,“‘Private’ messages sent to individual people during a Zoom meeting show up in the end-of-meeting transcript along with all other public messages.”," I think I've got some really really good stuff coming up. We'll want to hear. There's private conversations that were recorded. There's more recordings from the morning of May seventh. There's a lot of stuff to go over
",5,
17027,9929657,"""Just 400 Americans -- 400 -- have more wealth than half of all Americans combined."""," Thanks to globalization jobs are trending downward and have been for almost 20 years. Meanwhile, he was income inequality has been skyrocketing for decades inequality is now the highest it's been since 1928 right before the Great Depression the top one percent as again completely Left Behind bottom 99% in a new Gilded Age all of this and more in a time when our economy has more than doubled in size and when a whopping four hundred ninety-two of the 1645 billionaires in the world,. The are American in fact if we totaled up the wealth of the top 400 Americans it would exceed two trillion dollars. This is equivalent to the total wealth of half of the entire United States. So what's going on here what's going on is exactly what happens when systems aren't managed as systems parts of the system are destructively competing against each other instead of creatively working together for the good of the entire system one may be
",1,
