Fact Checked Claim Index,Podcast Claim Index,Fact Checked Claim,Podcast Claim,Stance Agreement
4600,3347232,"""College debt has increased 170 percent since 2006 and now exceeds $1.5 trillion dollars, which is second only to mortgage debt and surpasses even credit card debt."""," But over time fewer resources have been allocated to them. So more and more the costs have gone up and more and more of the burden is on the student pay for it. So we've had this sharp rise in student debt and that's you know, it's kind of common knowledge at this point that's playing a role in Millennials buying fewer homes delaying purchases the average age of the home. Fire is increasing substantially. Yeah, so it's just it's basically putting an anchor on consumer spending that wasn't there for prior generations and it's something we have to factor in when we talk about what's growth going to be like how strong is the consumer because there's this there's this debt burden at a much younger age
",-1
10931,4053288,"""Last week's three most-viewed television programs were Sunday Night Football, Thursday Night Football and Monday Night Football."""," This fence is one that I could get on top of and I could sit there for I will right. So that's that and looking at the next game Wofford and Arsenal. This is the Monday Night Football. No snooze Fest born. Yeah Baris stopped and offered
",-1
5882,4255751,"""A majority of Americans now live in states where they have decided to legalize cannabis,"" including recreational and medical marijuana."," We got to watch this thing before we try to pull the trigger on this or too many people that can screw this up. So yeah, it's a complicated subject. It's a complicated subject because of our legal structure and then now you've got states that are battling that legal structure, you know, we you know more states are you know, legalizing medical marijuana for usage and Realms like this. That's why CBDs a nice alternative to something like that that can be shipped, you know throughout the 50 and and territories without yeah. That's what's going to create
",-1
2754,2463631,"Says only certain face masks are effective and others, such as cloth masks, are not."," Yeah, that's weird and lame and so you can you be a Spider-Man you can't wear a mask. Can you be Peter Parker then without the mask? I think my son is gonna wear a Spider-Man suit without a mask. You simply can't wear masks. What a fuck that well, they don't want you to wear masks for safety reason to be able to identify everybody. I don't know man
",-1
16791,10688663,"""Iraq has the second-largest oilfields in the world (behind) Saudi Arabia."""," There are these three Revenue silos? There are divvied up between these three Khalid main participants in this space and they are the three participants that have the other participant in the whole equation the fourth which is the impresarios business people the people that actually should be powering and driving the country. They're constantly extorted harassed and that's why we leave for anyone that doesn't know Venezuela is resource-rich. The last I checked they have the largest oil Reserve in the world Saudi Arabia second. They have a tremendous amount of other resources. I mean natural gas gold bauxite that yeah
",-1
4711,3584182,"Prescription drugs ""are nearly 20 percent of our health care costs now when you include hospital prescription drugs."""," So Mom can link it with their kid or you we can link it to our grandparents just to make sure that our loved ones are taking their medication on time and when you're dealing with six seven medications at the time, which is. Average amount of pills that one American is taken at any given time. It's costing both the consumer but also private insurance companies billions of dollars in waste because these people are ending up in the hospital's when they really don't need to be and so because they're not taking their medication. Yeah because of that the doctor has changed the this dosage with the prescription or they forgot to take it and that leads to really serious symptoms. And and so what we're trying to do is really build a full
",-1
5236,9860839,"Says marijuana is ""legal in most states in this country."""," So he had a couple of knee surgeries and one of the knee surgeries actually the effect of it he had a staph infection and he was prescribed all types of medicines and they really weren't working for him and he figured out hey, I'm in a state and 2011-2012 season. I think he gets hurt. And he said he's in a state where marijuana is now legal for medical use. I wish they would call Colorado. So he's playing for the Nuggets Denver Nuggets at the time and he's in Colorado in 2012
",-1
3797,8867453,"Says ""red flag laws"" allow gun seizure without a judge’s involvement: ""They take it away first. Then you have to get permission from a judge to do it."""," So amok amok amok nice. So I'll go ahead and throw this out there and this is my feelings about all red flag laws that I've seen so far. The red flag laws are under this in my opinion misconception that a person is so dangerous that you must without any due process immediately go to their home and take all of their firearms out of their possession because they're dangerous to themselves only. No, no, let's let's let's let's broaden that language because they like being vague you go to their home and without due process seize their property. Yeah, oh, there's a reason I'm saying go after their firearms and then leave right? Right
",-1
6096,497864,"""There are more guns in this country than there are people."""," And those are the guys that really are just not going to give them all up and they're a really good shot too. Yeah and like you're talking about someone who's like, yeah, I would die for these guns, you know, there's probably a handful more than that big amount of people that would be pretty upset that happened. There's more guns than people in America everybody. Do you want you're not going to get them? Why and World War II the Americans didn't get in. Faded but because there's a gun behind every leaf
",-1
10763,3767854,"""We've had 27 (Ebola) outbreaks around the globe and they've never spread outside of the confines of the countries that were initially affected."""," So the moral of the story is don't go to and. And now that we have perspective actually Ebola might be not the worst way to die. So there's an ebola epidemic in Africa. And you know, really we're not in Africa. No, we're in mini Africa here in County Roscommon, but it's not enough for you
",-1
13864,10255054,Says she is a registered nurse.," But and it's real gravity. It's not made up. She's a registered nurse. She's a smart woman right really smart and she's had she's gone in and I don't know I did she's funny. I asked her house Brenner doing and she'll text me a whole bunch of numbers and words that make no sense to me
",-1
9616,9030041,"There are a ""multitude"" of vaccines that do not prevent deadly and crippling diseases."," You do not have to vaccinate at all. If you are running a perfectly closed heard, if you're not running a perfectly closer, then you have to look at the your different risk levels and what your overall disease incidence has been in the past and see if it's worth. I'm trying to mitigate that with vaccines. I would say that there is a quite large percentage of producers out there a branding time that are just vaccinating with the clostridium vaccination the black leg vaccine but they're not protecting against the bacterial pneumonia or the viral pneumonia component to that. So now we have our calves vaccinated
",-1
16160,3344842,"U.S. debt is ""now equal to 100 percent of the GDP."""," I think it's going to go up across Europe, right the the austerity narrative you have to pay for things. As as you go. It's dead and we're already mirror near hundred percent levels to to GDP on the debt, you know load in the US. Yeah, but let's see. This is what I'm saying
",-1
11535,7033805,"The CBO says that if you raise the minimum wage to $10.10 an hour, ""half a million people would lose their jobs."""," We need to pay them a livable wage. I got news for you. You raise the minimum wage to $15 an hour and you lose the people you're trying to help the most you will put them in more poverty than they've ever experienced in their life raising the minimum wage undermines the entire economy. Because what it means is small businesses go under you only have room for big businesses. They could give a rat's ass about you
",-1
3415,10163885,"Say Nancy Pelosi’s net worth is $196,299,990."," Yeah, why kill a macron and they processed weeks and weeks and weeks every weekend Manuel even hear the the a lot of the Democrats that are espousing socialism. Some of them are wealthy to you know, like warned that I just read that she's worth 5 million, but I read a couple years ago. She was worth like 13 million Pelosi Pelosi doesn't want the war but. She's got a wolf's out of this that she's a she's a conservative. I have I'm sorry
",-1
2344,4787640,West Virginia is the state with the oldest population.," Is there Southern Virginia know there's Northern Virginia and then there's the rest of Virginia Beach, Virginia. No, please aren't sure refer to Ocean. You wouldn't say, it's Western Virginia now West Virginia is a different. I know I'm just wondering like within the state how it's broken because we say Western New York. Yeah, you wouldn't in Northern Virginia
",-1
10611,4351572,"""Too many"" tattoos ""on visible body parts"" keep some applicants out of the military."," Come to accept it accept it. Yeah, like grown to just be like I am. Yeah, I'm an army but like I wouldn't like I'm not going to get our me tattooed on my body either. You know, I'm saying like I'm not I still wish there was a different word for it. How about you know pretty much the same like I still feel weird being called Army because it sounds like such a
",-1
3508,2350626,"Says the Japanese military did not invade the mainland United States after Pearl Harbor because ""they know that almost every home had guns and the Americans knew how to use them."""," He appointed him commander of the US forces in the Far East. The immediate Focus naturally was to build up US forces in the Philippines five. Later, the Japanese attack on Pearl Harbor brought the United States into the war. It seemed clear to MacArthur that the Philippines was to be the next Japanese Target that attack came within just two weeks MacArthur had neither the Manpower nor the time to prepare a proper Defense Force and half of his Air Force was simply wiped out on December the 22nd, Japan Advanced on manila acting on his own initiative MacArthur pulled his forces back to the Bataan Peninsula. He set up his headquarters on the island Fortress of Corregidor with him was his personal press Corps, which
",-1
13261,7272978,"""We have over 300,000,000 weapons, firearms in this country. That’s almost as big as the population."""," In my opinion is a mental health issue. So I think conservatives say, you know, okay, the gun isn't the problem the Liberals say, well, we need to limit access to guns. Well, let me just tell you there's more guns in the United States than there are people and there's 300 and like 25 million people. There's a lot of guns and they're not going to just disappear and even if they do get some people to like bot, you know, send guns back in or whatever like. If you have laws the crazy sick people aren't going to follow them
",-1
9209,11221602,"Says the Democratic Party created a debate schedule ""to maximize the opportunity for voters to see our candidates."""," So he can't he was able to keep that momentum within his base. So and his base is his base is going to go out there and show up. So the Democrats wanted would they have to bring a good candidate that can debate Donald Trump show him up at the debates. And it's going to be a difficult difficult challenge for Democrats in 2020. They could possibly make it happen
",-1
1314,1477254,Says that “the way to reach ‘herd immunity’ is for >70% of the population to get vaccinated.”," Um, yeah people like AA wound. I want to inject the flew into my child because it's not going to fucking do anything but protect them from the big boy flu, and people need to actually fucking wake up and understand that because really the only way your child's going to get protected if you are against vaccines or if your child can't be vaccinated is like everyone moving out to the middle of nowhere. All like I think it's 90 or over 90 percent of the population has to be vaccinated to prevent the disease disease spreading to those who aren't vaccinated. Yeah, which is a huge fucking problem because if you're not going to vaccinate your child at least tell other people to like if you can't you should be wanting other people to vaccinate their children. So yours doesn't catch the fucking disease
",-1
9161,9766790,"""You've been tremendously deceived"" by people who say the Earth is not flat."," I not we I don't I I'm I'm thoroughly convinced the Earth is round. But they have some truth to it. Like if this is what we've been taught since we were kids and there is some semi solid evidence that the Earth is flat like why not look into that. Why not believe that most flat earthers are like underground but there's a bunch of them coming up in like Rising them around the globe. Yeah rising up around the globe
",-1
4860,5107795,"Says there’s ""never (been) so many apprehensions ever in our history."""," Okay, let's get into this week's episode which is how to survive your rookie here. Oh, this is one that came from you guys and asking asking questions about going into your first season instructing. There's a lot of apprehension. You got a lot of training. You got a lot of Hoops to jump through and then all of a sudden
",-1
5835,11554816,"""Flint still doesn’t have clean water."""," But I don't think it's right for us to only care about something that you know, most directly affects white people. We don't care about this, you know genocide happening. We don't care about getting clean water to Flint in a timely matter because it's because it's mostly you know populated by black people. We don't care about weird correlation. We don't we don't care about even it dates back to you know, Katrina and no one got down to Katrina fast enough no one, you know and getting to Puerto Rico and when Trump did finally go down there
",-1
5882,1465509,"""A majority of Americans now live in states where they have decided to legalize cannabis,"" including recreational and medical marijuana."," The the Canada's breeding game is a really interesting space to me, especially right now. We're at the end of 2019. So cannabis is becoming legalized all over the place and people are starting to grow. You know, it wasn't it was a year ago that Canada fully legalized. So a lot of people are
",-1
10437,5160867,"""It used to be that the only children at school who weren't vaccinated were those who had true medical"" conditions. ""Now there are 19 states that allow personal belief exemptions."""," So I'm not even saying that they should be closed and the government is correct about this but it's much more complicated by the issue itself if we had total control over the issue and people would listen so yes, then we can talk normally and we talk about vaccinations and why you would want to be exempt from vaccinating and why we should allow your child in and be a normal conversation, but I think there are other factors involved. So I'm not here advocating that children should not be allowed into school, but you know something. Sometimes one has to look at why the parents are so insistent and not vaccinating and maybe they want their child in school maybe vaccination should be explored. Why is it only the extreme one way and not the other way maybe that maybe they should realize the vaccination should be an option obviously in a proper way where it doesn't harm the child Etc as we discussed another person writes on the topics of doctors medicine vaccinations at Center. There were you aware that were in recent recent episodes
",-1
16202,1107628,Says his Twitter account has 1.3 million followers.," But he has such a big vision for things. He's like, like some people would be like this is incredible. They even have an account with million followers. He's like, that's cute. Yeah, what else you got? Ya Limitless Limitless
",-1
8680,5583671,"""You have to be a citizen to vote,"" but with same-day voter registration, ""you have places where people just walk in and vote."""," So so I agree with you totally on that front. So then they carry on and and that's that's a big problem because if not enough people care, for example, if not if Asian America is not not even just talking about media and entertainment but Asian Americans in terms of participating is being an American. To vote to be a citizen. I don't feel as a whole we do a strong job all that there isn't support good number the me an hour. Oh no, you take the ratio of us that desire that change is not good enough the great enough to have a critical mass because not enough people care
",-1
18997,956400,"The United States has a supply of ""more than 100 years of natural gas."""," These are obviously people that have extra funds that could afford to say. Okay, we want make all the implementations today. We don't want to anymore natural gas. Right I'll so that could be in a political it looked like that could be worked for that town that town might not have a ton of people in it. Right? But the average cost for utilities is ninety one dollars and thirty cents
",-1
14723,4635384,"""When we took office, let me remind you, there was virtually no international pressure on Iran."""," Because he's the central point in your life. Do you want to be happy no matter what? Yeah through the ups and downs the highs and lungs the pens and the pressures will remember who's watching let that be a motivation to you this week. Don't feel the pressure Iran to say something profound all the time. Just live your life profound light and by profound. I mean God first in your workplace
",-1
12652,792975,"Says ""in Oregon today, the average debt upon college graduation is more than $24,000."""," So College tuition has more than doubled since the 1980s just so you guys know as a result student debt is at an all-time high with the average student debt per graduate Shelby. You should be very proud of yourself. You have beat out everyone by almost five times because the average student debt for graduate is 17,000 126. I was following worship calling bullsh I think so, too. Yes, yeah that they don't have two degrees you have but yeah at that is according to the Business Insider's of take it up with them, please not me
",-1
1814,9159822,"""Nearly 800 million opioid pills were shipped to WV, amounting to 433 pills for every man, woman, and child in the state.”"," If you look at the fact that we establish that this drug has similar effects to another period however has less of the characteristics to cause addiction as well as withdrawal. This could be a miracle drug for people that are trying to get off of opioids. There's 215 million prescriptions that are written each year for opioids 25% of those folks. End up struggling or misusing their prescription to million become addicted each year and last year there was about 60,000 people that died from overdoses, which is a hundred fifty per day, which so we estimate over the next decade like half a million people are going to die from complications of using opioids. Right? I mean, there was a huge very recently in the United States
",-1
4351,2506452,"""We’ve had a 30% increase in suicides in this country in just 15 years."""," I mean dude, this is fucking insane. Let's see got a lot of popped up in here. Let's see the suicide rate among American ages 35 to 64 Rose by roughly 20 percent between 1999 and 2010. Whoa, that's a lot. That's not a good start at all
",-1
16687,425239,"Says businesses ""already pay most of the taxes."""," Tax for this paycheck. It's in Bitcoin will great send it to us in Bitcoin or send it to us and dollars either way. So your most people are employees, right? And so companies are going to collect our taxes people will pay their taxes. So again, I don't think it you can really Bitcoins going to get around that a lot with the state but for certain individuals who are smart what they do and then maybe can move to certain jurisdictions. I think you can get away from the state in at more of an individual
",-1
10062,5998985,"""During Obama's first five years as president, black unemployment increased 42 percent. During Reagan's presidency, black unemployment dropped 20 percent."""," Eddie between crack cocaine and powder cocaine sentencing, you know who signed that into law Barack Obama. Also Pop Quiz everybody. What was the black unemployment rate when President Obama took office in 2008? Anybody Bueller Bueller? It was 16.8% Do you know that the first time when the unemployment rate for black people fell below 10% for the first time since the recession, you know, what year that was 2015, you know, wasn't it?. Office Donald Trump when Obama left office the black unemployment rate was 7
",-1
15618,11451464,"People can use food stamps ""for anything,"" including ""to go to Hawaii,"" and even millionaires can qualify."," When I first came to Ubi my view was oh, yeah, we let's get rid of most things that he says because you be I will be decent replacement and I think just Dean on the nuts and bolts of how much money people are getting. Is a reasonable argument that because a lot of these programs are less in just about every case and when you're when you're putting strings attached to it, it's less helpful for people. So if if with food stamps or snap we could just give people a cash instead of funds that are only allowed for certain purchases that would be better for them. But I think that the reason for having more of a hard line as to why Universal basic income shouldn't be treated. it as an either/or is I think more broadly around how do we want this program to be framed and perceived and is it a new welfare state or is it something new because for me the model that I like most for you bi is what we have in Alaska right now is the Permanent Fund there where and I'm not sure if you've talked about this on the podcast before but the oil and state has allowed the state to create this large wealth fund that
",-1
16202,12047822,Says his Twitter account has 1.3 million followers.," And that is a message I seek to bring to my learner's each and every week and so yeah, Gary Vee is not an educator, but. He makes my Twitter highlight of the week. He does have two point 1 million followers. So to get a reply in that thread was pretty awesome. Thanks again to Scott Nunes at mr
",-1
11627,12005488,Women are paid 77 cents for every $1 men get for the same work.," Always has the best Mitch McConnell one. He does the way that he describes how he looks or like what he's looking at? No, I loved that and I loved the just shape probably caught shit for this one too, but I just liked his delivery on. The into two hundred fifty Seven Years women will finally receive the same pay as men. So just like calm down. Just hold on be a little patience
",-1
3094,6377822,Says coronavirus is just “the damn flu.”," Is this incredible mattress company that takes out all of the awkward uncomfortable and frankly weird interactions that you have to have it mattress stores where you got a weird car salesman guy who can't sell cars, so he's trying to sell you Bunkie old beds you're laying on their there's other. People sweat spin on there and they're there. I don't want to say coronavirus. I want to say that because it would be rude of me to say but you don't know what other people got when they're laying on those damn pills out of mattress stores. Then they're asked you like, oh, we'll just one comfortable
",-1
8735,8846992,"The Paris Agreement ""is by far the largest number of countries ever to sign an international agreement on a single day."""," Which can you give me a few details of that? Yeah. So the Paris agreement was signed in 2015 after the Kyoto Protocol, which was a total failure. Earlier, so what the Paris agreement says is every country that signs this agreement. This treaty will have to reduce their 40 percent of the greenhouse emissions greenhouse gases emissions so we can stop the war mean compared to pre-industrial levels 1.5 and well below 2, so they're basically saying we need to stop between 1
",-1
3216,7373362,"Says two patients at Valley Regional Medical Center in Brownsville, Texas, “are being looked at” for possible coronavirus infections."," I don't want to spend more money on buying something. I've already bought my instinct was correct that the virus would be a talking plant on mumsnet. They're concerned about the Corona virus. She bought something for Didi hamster not dedes hamster my dear daughter hamster that's always famous hamster and she bought her a slide from Amazon and now not only does her daughter has to live with the name hamster. She can't even play with us ladies because of the Corona virus and a hamster
",-1
9814,3058798,"""The top one-tenth of 1 percent"" of Americans ""own almost as much wealth as the bottom 90 percent."""," We have to learn how to stop trying to run at things the same way as we used to and we have to commit to consistent action and self responsibility because the thing is yeah. Okay there is that 99% or that 1% but there's also the and I'm using this analogy. It might be kind of cliche or overused but there is that one percent who has all the wealth, but there is that 99% and you we are each part of that. Percent and so the actions that we take matter and so it's not. Oh, it's well you can do whatever you want so it could be okay, but this energy isn't conductive to people just saying, oh I can't make a difference or it doesn't matter what I do or well everybody else is laughing at that joke
",-1
10127,881221,"A Penn State University study found that ""electronic cigarettes . . . are far less addictive than cigarettes."""," I thought this was like kind of interesting because it's what are people going to do now because we're we're headed it looks like you know E-cigarettes are going to be wiped from the shelf. And I know a lot of people who are like adults who like smoked for many years and then they started using e cigarettes in it and, you know, help them to quit completely and I also know some people who. Um switch to e-cigarettes and it seems that they're more addicted now than they ever were but I'm not going to get into that. Another thing that I thought about was how people are they're going to always want to have a vice-like people are always going to want to have something that's like bad for them. They shouldn't be doing like that's just how it works like with alcohol drugs cigarettes e-cigarettes, whatever
",-1
833,6784621,“Private insurance gives … better coverage” than people would get under a Medicaid expansion.," People's life experiences have had upon them in a physical from a physiological perspective. And at this this study came about from an obesity Clinic actually, right? So there was this Private health insurance company who had a really high dropout rate form and obesity clinic. Now, these are people bear in mind that a living in the states and can afford Private health cover through an insurance company is a middle-class people. This isn't looking at the people who typically struggle and live in a. and area this is just like the kind of very bang down the middle American population and They carried out these interviews of the people who had finished the Obesity program and those who had dropped out to try and figure out okay, how can we better target the people that we need to and almost by chance, they discovered that a lot of the people who dropped out at also had some very difficult life experiences, whether they were abusive or traumatic or whether they were you know other kind of
",-1
4490,3643074,"Other than University of Virginia’s 2019 basketball team, ""We’ve not had a Virginia team even in the Final Four in over a decade. I think George Mason was the last one…"""," Alabama's biggest bowl loss in their history of having a football program we. We accomplish some great things and then the next year Michael Vick comes in and blows up college football and Andy most electrifying athlete maybe to have ever played college football. And if you look at the previous year of the 98 year that you're speaking of Virginia Tech. They had a great. I think they ended up winning eight games or nine games
",-1
9240,10169468,"Every ""one of the mass shootings except two in America since 1950 have been"" in ""gun-free zones."""," You lose your right to carry when he retire. That's unbelievable That's the Law. Well, they got the gun free zone in the post office and Off Duty gun 51 years 50 years. I'm carrying a gun I go to mail a letter and I'm a criminal I'm fine. I think I've read I think I read to that off duty
",-1
16808,312777,"""Almost 37 percent of the total income from Planned Parenthood is from abortions."""," There is no you have to have sex point three percent of abortions are due to the health of the fetus point four percent of abortions are due to the physical health of the mother. You add all this up. This is less than seven percent of abortions being for legitimate reasons. Okay a victim of rape and abortion is a legitimate reason a if you have an extreme health issue to where pregnancy can kill you or you know or something like that that is a legit reason, okay. So now let's talk about the facts
",-1
4145,7258691,"Says Alexandria Ocasio-Cortez ""weeps over empty parking lot."""," Yeah, Knight of Wands is Aires. Yeah, is that pioneering Spirit which is fun because Libra often gets Typecast as this like sweet like kind of like, you know wanting to make the piece but Libra when we're looking at the court cards is Knight of Swords, and we know the Knight of Swords is the fastest moving night. We're talking Alexandria Ocasio Cortez now we. At the Knight of Swords, you know to be sure we feel that with Libra and so but then it's like okay leavers will by Venus. So he put the empress Venus gets to the Knight of Swords and you're like, whoa, these two cards together are really giving me the this embodiment
",-1
4819,8009136,"The NRA is ""one of the biggest lobbyists here in the capital. They spend a ton of money during elections. …  they spent more than a million dollars here in Wisconsin on the 2018 elections. Most of that was for Walker, or more specifically against Evers."""," Yeah, I just think that give approach that from a space of Common Ground, you know, I'll give you an example. Let's say that you're talking to a politician and they have made a vote based on a donor anybody at all. Let's just say the NRA is a huge donor to their campaign. They've voted a certain way because of a donor you may. have all kinds of problems with that and I would say as a journalist
",-1
5112,7196193,"""If a statue of a person in the park on a horse has both front legs in the air, the person died in battle. If the horse has one front leg in the air, the person died as a result of wounds received in battle. If the horse has all four legs on the ground, the person died of natural causes."""," I think I'm well, I think it's until if you had fun anything. But so you guys know like those or statues that have like people on horses like the soldiers and horses. So it says that if a statue of a person in the park on a horse has both front legs in the air the person died in battle if the horse has won front leg in the air the person died as a result of wounds received in battle. The horse has all four legs on the ground. The person died of natural causes
",-1
2544,11571610,"“Companies that use prison labor: Whole Foods, McDonald’s, Walmart, Victoria’s Secret, AT&T, Bank of America, Starbucks, Wendy’s.”"," is the majority of politicians in Washington open the except enormous sums of campaign dollars from these same companies over their careers Democrats and Republicans alike the 13th Amendment to the Constitution abolished slavery and involuntary Solitude in the United States except as punishment for a crime prisoners who are paid for their work averaged 93 cents to $4 per day not per hour 93 cents to $4 per day in some states like. Texas prisoners are required to work and do not receive any pay. Prison systems both private and public are allowed to contract prison labor to private companies companies that have or continue to contract prison labor to increase their bottom line include AT&T Exxon McDonald's Starbucks Boeing and many others. There's a lot of money to be made from prison labor with incest real money flow among politicians big Banks privately owned prisons and large corporations one begins to connect the dots. We might begin to draw certain conclusions
",-1
9860,7318387,"The California governor ""says yes to poisoning more children with mercury and aluminum"" in vaccines."," I got to keep message to the black man on your mind because he said do for self or suffer the consequences. Is the best and only answer that we have if we can't get along with him in peace, then we must separate and do something for ourselves. See ain't got to worry about y'all forcing me to vaccine my children with this Mercury with this aluminum, huh?. If I got my own school if we don't build our own school, if we don't pull it out resources and build our own school and I worry about that. See as a man if I got a woman and I'm striving to do for self and I'm striving to have my own business and I understand the importance of a woman being able to be raised in an environment to where she's free to be a mother who's the first teacher and first nurturer gnashing got to be out now
",-1
6035,8558837,"The flu shot is ""designed to spread cancer."""," This data just doesn't exist, but people continue to say it as if. It does exist which is really weird. So the same thing kind of goes with this flu shot question. So the Cochrane collaboration has determined through all of the analysis of all clinical data surrounding the flu vaccine that you'd need to vaccinate somewhere between 33 299 adults to prevent a single case of the flu. I hate this kind of language
",-1
4901,6097754,"Says ""Cost of Mueller’s investigation: $3,200,000; Benghazi ""investigation"": $7,000,000; Trump’s golfing trips: $83,000,000; New debt from Republican tax bill: $1,500,000,000,000."""," Anyways, there's these dudes like these missionary novels. I would read in these people of Faith where they literally had they'd spend every dollar right that they had and then they would like the rent bill would come in and then the day before the rent Bill did pray to God like crazy and then the. ACT amount of money that they charge Mason George Mueller Mueller George Mueller Mueller. Okay, what are we talking about here?. Yeah, so when we were 20, we decide we got married when we're 20, so we decided to not use birth control and we basically got pregnant basically on our honeymoon, but it could have been right after and we were super excited had no idea what we were getting ourselves into
",-1
2593,2658460,"Wearing masks for the coronavirus “decreases oxygen intake, increases toxin inhalation, shuts down immune system, increases virus risk, scientifically inaccurate, effectiveness not studied.”","D5 masks and 95 mask. What do they do there? Like they're there the better particulate masks. They have like different ratings for masks with this protect me against the coronavirus going on. I mean, I don't I don't really have any details, but it'll do better than the break the shittiest masks like you need to these are more expensive. You need to have the more expensive ones
",-1
5769,6721889,"""Legendary Actor Sidney Poitier: Donald Trump might become 'The Greatest Of All Time.' """," So, who do you choose you got you got baby, right? You gotta go. When ta you got Jason Derulo pick sitting party because I think it'd be easier for a probably both of us to remember movies that he's been in or been in with other people. So Sidney Poitier Sidney Poitier. All right, what is our next category musicians from Miami that the NFL could have booked very difficult. I'm sorry for you both really fine Trick Daddy, Flo Rida and Trina
",-1
5882,10432569,"""A majority of Americans now live in states where they have decided to legalize cannabis,"" including recreational and medical marijuana."," A lot of people say that if you know if alcohol came onto the scene now, it would definitely be classed as a as a controlled drug or substance, you know due to the abuse that people can you know take from it in such a small dosage compared to you know, what perceived problems that cannabis has on the on the on the UK streets and you got to remember that no one has ever died from any cannabis over its little someone stood up at a conference the other day and said that there are more people that have died from unicorn attacks and they have fun. Um canvas with a funny line, but no, I mean, you know, if that's why this whole reform is is being undergoing moment. And you know, there's a whole Legacy of where the law is coming in and out with cannabis use over the years and you know, I think people are really waking up to the profound effects that cannabis medicinal cannabis can have on the body and people there is this trend now where people are trying to move away from pharmaceutical patented drugs and go for more natural remedies and you know cannabis is. Is been seen in scriptures from thousands of years ago as a natural medicine, it's in the Guinness book of records as the oldest registered medicine in the world. and when like when you say that if alcohol isn't used now it would have been illegal like is that because is that is that because like because alcohol was introduced so long ago and that's why it's fine now and like it will cause a lot of problems if the me THC or weed or any of the legal right now
",-1
4067,9935688,"""In 2016, counties hosting a Trump rally saw a 226% spike in hate crimes."""," He is inciting fear and more than that. He is generating a culture. That since Trump was elected hate crimes have risen All Over America, but they have risen twice as fast in areas where Trump has held his rallies. Hannah Arendt, perhaps the clearest philosopher of paranoid culture in American history studied the Strategic power of authoritarian rhetoric. She wrote before Mass leaders seize the power to fit reality to their lies
",-1
3389,4258680,“Very close to 160 million people are now working in the United States. Nobody's ever even come close to that number.”," But first I want to go over the number. So as it sits right now, one of the first things I was curious is about how many people do we actually have working in the United States at this moment that includes citizens non-citizens that are foreign Nationals permanent residents, right? I wanted to know how many people are working in the US as it sits right now we have. 55 million people working almost a hundred and fifty six million people working in the United States right now. So to make the math easy, it's a hundred fifty five point seven million people right then. I took a look at the number of charges filed and resolutions
",-1
2806,10189406,Says it’s illegal to hold an absentee-only election or mail ballots to every registered voter," Then they go over to Melinda Katz and I'm looking at her and she looks like the cat that ate the canary like she knew ahead of time. I got this in the bank. We have absentee ballots. They already told me I you know, like that was my impression that something funny is going on. Yeah, so they had this heated Rico Rico
",-1
13437,2516057,"Says ""Abortion clinics in Oregon, as in most states, have no state oversight and are not held to basic health or safety standards."""," Like it's a huge deal like and it's not just Alberta. It's not just Alabama there is. There's so many other states with very strict abortion laws. It's gone to the point where like Netflix is is like threatening to pull production from these states. There's other like massive people in like the movie and entertainment Industries saying that they're going to pull their projects like it's a huge
",-1
16202,4653143,Says his Twitter account has 1.3 million followers.," I really hope he pulls through I really hope he pulls through well girls talking about it's only 90. My girl was not caused by girls talk about how he go. He has however many million followers. Always remember his name find it in the DM heard the interview. I mean, it wasn't necessary interview
",-1
3985,2005927,Says an image depicts Hurricane Dorian over the Bahamas.," Hurricane Lawrence was coming to the UK and you know what happens when it's like a B&B. Okay, so I work for a company that is a so not associated with it has something to do with that industry Air B&B changed Froze all of its prices across the country because of like warnings they were like, oh, you know, do you see a hurricane know literally nothing. I had just come from the Bahamas where it was an actual hurricane there while I was there not hurricane Dorian thankfully, but there was another. Again afterwards and you can you know, it was windy. He was like bad weather but here is like just another weekend in rainy town
",-1
3915,6851040,"""Europe and other nations (need to) contribute to Ukraine. Because they’re not doing it. Just the United States. We’re putting up the bulk of the money."""," And in the past there has been corruption in Ukraine. money that the u. Gives to Ukraine as Aid as help because the Ukraine is. against one of the US's. an enemy is maybe a bit of a strong word
",-1
5957,7620009,NASA Has Just Confirmed Earth Has A New Moon," There's like flowers in these cups, and sorry it's not focusing and. One person is handing the cup to the other person and they're just kind of like in this moment of just like, you know, it just means just like a moment the six of Cups always seems like a moment in receiving energy and expanding into what is it always just feel so like sweet and playful and happy to me the six of Cups because it's so innocent and that's always what I pull from it. But what we're talking about with the new moon. Full moon in Taurus six of Cups a knight of Wands the energy will be looking at over those couple of weeks is so what's your belief system? Look at what societal expectations and family expectations have been happening around you and notice when you feel that impulse to like move into them and to like want to appease people to make them happy and take that pause again. Take that wisdom that inner
",-1
